Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2412.45,1,,56.64,16.85,3,0,,61.02,27.91,3,-1
2412.53,1,,56.34,16.32,3,0,,60.31,28.23,3,-1
2412.63,1,,56.69,16.93,3,0,,61.01,27.93,3,-1
2412.87,1,,56.55,17.01,3,0,,60.5,28.05,3,-1
2412.88,1,,56.55,17.01,3,0,,60.38,27.92,3,-1
2412.93,1,,56.94,17.2,3,0,,60.5,27.74,3,-1
2413.13,1,,56.23,16.91,3,0,,59.59,28.15,3,-1
2413.13,1,,56.23,16.91,3,0,,59.39,27.55,3,-1
2413.32,1,,56.23,16.91,3,0,,60.8,27.37,3,-1
2413.34,1,,56.45,16.82,3,0,,60.01,27.63,3,-1
2413.52,1,,56.37,16.6,3,-1,,60.28,27.59,3,-1
2413.53,1,,56.37,16.6,3,-1,,60.03,27.52,3,-1
2413.65,1,,56.21,16.18,3,-1,,60.52,27.53,3,-1
2413.85,1,,56.5,16.79,3,-1,,60.44,27.61,3,-1
2413.86,1,,56.5,16.79,3,-1,,60.54,27.68,3,-1
2413.92,1,,56.5,16.79,3,-1,,60.12,27.26,3,-1
2414.06,1,,55.96,16.9,3,-1,,59.63,28.11,3,-1
2414.25,1,,56.41,16.72,3,-1,,60.43,28.11,3,-1
2414.25,1,,56.41,16.72,3,-1,,60.43,28.11,3,-1
2414.34,1,,56.72,16.9,3,-1,,61.31,27.75,3,-1
2414.42,1,,56.72,16.9,3,-1,,61.17,27.99,3,-1
2414.51,1,,56.89,16.79,3,-1,,60.76,27.83,3,-1
2414.63,1,,55.87,16.37,3,-1,,61.32,27.31,3,-1
2414.87,1,,56.07,16.48,3,-1,,59.81,27.69,3,-1
2414.87,1,,56.07,16.48,3,-1,,59.56,27.44,3,-1
2414.9,1,,56.07,16.48,3,-1,,59.66,27.89,3,-1
2415.11,1,,56.5,16.6,3,-1,,60.06,27.63,3,-1
2415.11,1,,56.5,16.6,3,-1,,60.06,27.63,3,-1
2415.2,1,,56.5,16.6,3,-1,,59.59,27.11,3,-1
2415.33,1,,55.72,16.38,3,-1,,60.62,27.42,3,-1
2415.41,1,,55.72,16.38,3,-1,,60.8,26.38,3,-1
2415.5,1,,55.72,16.38,3,-1,,59.76,27.22,3,-1
2415.71,1,,55.72,16.38,3,-1,,59.71,27.17,3,-1
2415.71,1,,55.72,16.38,3,-1,,61.43,27.22,3,-1
2415.87,1,,55.72,16.38,3,-1,,60.16,27.55,3,-1
2415.89,1,,55.72,16.38,3,-1,,60.36,27.3,3,-1
2416.1,1,,56.13,16.68,3,-1,,60.7,27.54,3,-1
2416.1,1,,56.13,16.68,3,-1,,60.55,27.11,3,-1
2416.19,1,,55.33,16.91,3,-1,,59.53,27.5,3,-1
2416.31,1,,57.02,15.86,3,-1,,59.81,28.17,3,-1
2416.44,1,,57.02,15.86,3,-1,,60.72,28.26,3,-1
2416.52,1,,56.77,16.64,3,-1,,60.47,27.75,3,-1
2416.64,1,,56.3,16.67,3,-1,,60.28,27.72,3,-1
2416.7,1,,56.3,16.67,3,-1,,61.04,27.74,3,-1
2416.79,1,,56.65,15.84,3,-1,,60.67,27.61,3,-1
2416.98,1,,56.42,15.89,3,-1,,61.07,28.09,3,-1
2417,1,,57.06,16.53,3,-1,,60.01,27.55,3,-1
2417.09,1,,57.02,16.35,3,-1,,59.8,27.49,3,-1
2417.18,1,,56,16.41,3,-1,,59.1,27.18,3,-1
2417.39,1,,56.2,15.43,3,-1,,58.95,27.66,3,-1
2417.39,1,,56.2,15.43,3,-1,,58.79,27.3,3,-1
2417.6,1,,56.43,16.3,3,-1,,59.82,27.44,3,-1
2417.63,1,,56.43,16.3,3,-1,,59.22,27.21,3,-1
2417.69,1,,55.66,16.38,3,-1,,59.3,27.23,3,-1
2417.78,1,,54.9,15.99,3,0,,60.7,26.95,3,-1
2417.87,1,,56.01,16.19,3,0,,60.01,27.28,3,-1
2418.08,1,,54.94,16.11,3,0,,59.73,27.68,3,-1
2418.08,1,,54.94,16.11,3,0,,60.23,27.41,3,-1
2418.18,1,,56.45,16.62,3,0,,60.2,27.33,3,-1
2418.29,1,,56.42,16.69,3,0,,58.4,27.77,3,-1
2418.51,1,,56.42,16.69,3,0,,59.89,27.64,3,-1
2418.51,1,,56.42,16.69,3,0,,60.9,28.12,3,-1
2418.59,1,,55.91,16.61,3,0,,60.11,28.08,3,-1
2418.68,1,,55.91,16.61,3,0,,60.36,27.67,3,-1
2418.77,1,,56.91,16.26,3,0,,60.46,27.47,3,-1
2418.93,1,,56.68,16.46,3,0,,61.27,27.31,3,-1
2419.02,1,,56.68,16.46,3,0,,60.78,27.37,3,-1
2419.08,1,,56.39,15.85,3,0,,59.41,27.35,3,-1
2419.19,1,,56.39,15.85,3,0,,59.75,27.15,3,-1
2419.28,1,,56.39,15.85,3,0,,60.28,27.44,3,-1
2419.44,1,,56.39,15.85,3,0,,59.82,27.16,3,-1
2419.47,1,,56.39,15.85,3,0,,60.66,27.17,3,-1
2419.58,1,,56.3,15.65,3,0,,59.33,27.37,3,-1
2419.67,1,,55.94,16.23,3,0,,60.82,27.76,3,-1
2419.82,1,,56.11,16.46,3,0,,61.05,27.06,3,-1
2419.85,1,,56.11,16.46,3,0,,60.55,26.97,3,-1
2420.12,1,,56.11,16.46,3,0,,60.58,27.13,3,-1
2420.12,1,,56.11,16.46,3,0,,60.69,27.46,3,-1
2420.15,1,,56.11,16.46,3,0,,61.45,28.18,3,-1
2420.36,1,,58.47,16.09,3,0,,60.15,27.56,3,-1
2420.36,1,,58.47,16.09,3,0,,60.15,27.56,3,-1
2420.45,1,,56.62,16.43,3,0,,60.09,27.23,3,-1
2420.57,1,,56.14,16.35,3,0,,58.59,27.6,3,-1
2420.67,1,,56.14,16.35,3,0,,59.53,27.06,3,-1
2420.78,1,,56.76,16.37,3,0,,59.02,27.47,3,-1
2420.88,1,,56.41,16.26,3,0,,60.5,27.43,3,-1
2421.05,1,,55.7,16.31,3,0,,60.17,27.15,3,-1
2421.05,1,,55.7,16.31,3,0,,59.33,26.84,3,-1
2421.17,1,,56.95,16,3,0,,59.25,26.56,3,-1
2421.26,1,,56.95,16,3,0,,59.7,26.98,3,-1
2421.35,1,,56.05,16.33,3,0,,59.12,26.79,3,-1
2421.5,1,,56.05,16.33,3,0,,60.08,27.22,3,-1
2421.56,1,,55.7,16.47,3,0,,58.67,26.92,3,-1
2421.68,1,,55.79,16.25,3,0,,58.89,26.64,3,-1
2421.78,1,,55.79,16.25,3,0,,59.91,27.07,3,-1
2421.87,1,,55.86,16.48,3,0,,58.88,27.22,3,-1
2422.01,1,,56.39,16.41,3,0,,59.37,26.81,3,-1
2422.04,1,,56.39,16.41,3,0,,58.72,26.62,3,-1
2422.14,1,,56.44,16.62,3,0,,59.95,27.12,3,-1
2422.25,1,,56.44,16.62,3,0,,60.41,27.31,3,-1
2422.34,1,,56.5,16,3,0,,60.36,27.31,3,-1
2422.49,1,,55.81,16.42,3,0,,60.97,26.92,3,-1
2422.55,1,,59.17,16.89,3,0,,59.84,27.17,3,-1
2422.73,1,,58.64,16.37,3,0,,60.47,26.94,3,-1
2422.73,1,,58.64,16.37,3,0,,59.85,26.78,3,-1
2422.94,1,,56.26,16.19,3,0,,60.02,27.02,3,-1
2422.94,1,,56.26,16.19,3,0,,59.33,26.8,3,-1
2423.03,1,,55.8,15.66,3,0,,59.45,26.94,3,-1
2423.15,1,,56.68,16.17,3,0,,59.33,26.82,3,-1
2423.3,1,,56.52,15.31,3,0,,59.45,26.73,3,-1
2423.37,1,,56.52,15.31,3,0,,59.52,26.79,3,-1
2423.43,1,,56.39,15.98,3,0,,59.25,26.95,3,-1
2423.63,1,,56.49,16.23,3,0,,60.89,26.84,3,-1
2423.64,1,,56.49,16.23,3,0,,59.84,26.93,3,-1
2423.78,1,,55.7,16.38,3,0,,59.77,26.58,3,-1
2423.85,1,,55.7,16.38,3,0,,62.08,26.96,3,-1
2424.02,1,,55.65,16.48,3,0,,59.61,27.17,3,-1
2424.02,1,,55.65,16.48,3,0,,60.02,27.29,3,-1
2424.27,1,,56.28,16.49,3,0,,60.52,27.12,3,-1
2424.29,1,,56.46,16.45,3,0,,59.15,26.88,3,-1
2424.32,1,,56.46,16.45,3,0,,60.05,26.96,3,-1
2424.5,1,,56.46,16.45,3,0,,59.74,26.64,3,-1
2424.53,1,,56.46,16.45,3,0,,59.63,27.31,3,-1
2424.63,1,,56.46,16.45,3,0,,60.17,26.92,3,-1
2424.77,1,,55.74,16.05,3,0,,59.71,27.32,3,-1
2424.84,1,,55.74,16.05,3,0,,59.28,27.46,3,-1
2424.92,1,,55.74,16.05,3,0,,59.33,26.64,3,-1
2425.02,1,,57.14,15.71,3,0,,58.88,26.74,3,-1
2425.26,1,,56.05,16.17,3,0,,59.64,27.06,3,-1
2425.26,1,,56.05,16.17,3,0,,60.04,26.85,3,-1
2425.31,1,,57.4,16.38,3,0,,59.73,26.8,3,-1
2425.43,1,,56.54,16.39,3,0,,60.68,26.34,3,-1
2425.52,1,,56.89,16.09,3,0,,59.78,26.79,3,-1
2425.61,1,,58.64,15.96,3,0,,59.04,27.05,3,-1
2425.71,1,,58.64,15.96,3,0,,59.41,26.89,3,-1
2425.82,1,,56.35,16.48,3,0,,59.5,26.98,3,-1
2425.91,1,,55.89,16.5,3,0,,61.01,27.19,3,-1
2426,1,,56.61,16.49,3,0,,60.13,27.34,3,-1
2426.16,1,,56.29,15.69,3,0,,59.86,27.93,3,-1
2426.21,1,,56.21,16.38,3,0,,59.85,27.41,3,-1
2426.36,1,,56.46,16.23,3,0,,59.44,27.32,3,-1
2426.42,1,,56.46,16.23,3,0,,60.95,26.51,3,-1
2426.51,1,,56.46,16.23,3,0,,59.76,26.92,3,-1
2426.6,1,,56.61,15.9,3,0,,59.69,27.02,3,-1
2426.69,1,,56.05,15.61,3,0,,61.01,26.43,3,-1
2426.84,1,,56.39,16.28,3,0,,59.66,26.74,3,-1
2426.96,1,,56.39,16.28,3,0,,59.46,27.16,3,-1
2427.02,1,,56.46,16.3,3,0,,59.82,26.52,3,-1
2427.12,1,,56.1,16.09,3,0,,59.42,26.59,3,-1
2427.2,1,,56.26,15.48,3,0,,59.06,27.02,3,-1
2427.32,1,,57.08,16.44,3,0,,59.62,27.25,3,-1
2427.42,1,,56.45,16.3,3,0,,60.15,26.72,3,-1
2427.51,1,,56.45,16.3,3,0,,59.45,26.63,3,-1
2427.59,1,,55.89,16.6,3,0,,60.21,26.98,3,-1
2427.74,1,,59.43,16.2,3,0,,60.65,27.11,3,-1
2427.81,1,,59.43,16.2,3,0,,60.32,27.43,3,-1
2427.98,1,,59.43,16.2,3,0,,60.49,27.35,3,-1
2427.98,1,,59.43,16.2,3,0,,60.56,27.52,3,-1
2428.19,1,,55.43,16.14,3,0,,59.77,26.95,3,-1
2428.19,1,,55.43,16.14,3,0,,60.74,27.06,3,-1
2428.28,1,,55.43,16.14,3,0,,59.75,27.17,3,-1
2428.59,1,,54.97,15.74,3,0,,59.64,27.15,3,-1
2428.59,1,,54.97,15.74,3,0,,59.64,27.15,3,-1
2428.59,1,,54.97,15.74,3,0,,59.64,27.15,3,-1
2428.68,1,,56.31,16.17,3,0,,59.71,26.89,3,-1
2428.88,1,,55.28,15.8,3,0,,60.73,27.51,3,-1
2428.88,1,,55.28,15.8,3,0,,60.73,27.51,3,-1
2429.13,1,,55.28,15.8,3,0,,59.83,27.42,3,-1
2429.13,1,,55.28,15.8,3,0,,60.73,27.14,3,-1
2429.27,1,,55.68,16.48,3,0,,59.42,26.87,3,-1
2429.27,1,,55.68,16.48,3,0,,60.11,27.1,3,-1
2429.51,1,,56.09,15.78,3,0,,60,27.53,3,-1
2429.51,1,,56.09,15.78,3,0,,60,27.53,3,-1
2429.58,1,,56.41,16.46,3,0,,59.25,27.52,3,-1
2429.67,1,,56.41,16.46,3,0,,59.93,27.02,3,-1
2429.78,1,,56.41,16.46,3,0,,60.7,27.34,3,-1
2430.05,1,,55.7,16.03,3,0,,59.82,27.62,3,-1
2430.05,1,,55.7,16.03,3,0,,59.82,27.62,3,-1
2430.08,1,,55.98,16.29,3,0,,58.97,27.49,3,-1
2430.18,1,,55.52,16.25,3,0,,59.67,27.4,3,-1
2430.29,1,,56.92,16.3,3,0,,59.39,27.25,3,-1
2430.41,1,,55.44,16.1,3,0,,58.1,27.08,3,-1
2430.5,1,,55.44,16.1,3,0,,59.26,27.1,3,-1
2430.62,1,,55.44,16.1,3,0,,59.71,27.27,3,-1
2430.65,1,,55.44,16.1,3,0,,59.49,27.05,3,-1
2430.77,1,,56.97,16.51,3,0,,59.71,27.18,3,-1
2430.87,1,,56.1,16.57,3,0,,60.68,27,3,-1
2430.95,1,,56.1,16.57,3,0,,61.85,26.6,3,-1
2431.1,1,,56.11,15.85,3,0,,59.95,27.54,3,-1
2431.17,1,,56.11,15.85,3,0,,59.73,28.08,3,-1
2431.29,1,,56.28,16.37,3,0,,59.85,27.25,3,-1
2431.37,1,,56.26,16.46,3,0,,60.17,27.13,3,-1
2431.58,1,,55.77,16.12,3,0,,60.31,27.64,3,-1
2431.58,1,,55.77,16.12,3,0,,60.92,27.73,3,-1
2431.67,1,,56.52,16.11,3,0,,58.09,27.39,3,-1
2431.77,1,,56.52,16.11,3,0,,60.21,27.56,3,-1
2431.91,1,,55.82,16.41,3,0,,60.4,27.67,3,-1
2431.94,1,,55.82,16.41,3,0,,61.12,26.9,3,-1
2432.06,1,,55.37,16.27,3,0,,61.05,27.24,3,-1
2432.73,1,,57.04,15.83,3,0,,60.92,27.27,3,-1
2432.73,1,,57.04,15.83,3,0,,59.92,27.29,3,-1
2432.73,1,,57.04,15.83,3,0,,59.92,27.29,3,-1
2432.73,1,,57.04,15.83,3,0,,59.85,26.97,3,-1
2432.73,1,,57.04,15.83,3,0,,59.51,26.87,3,-1
2432.73,1,,57.04,15.83,3,0,,59.71,26.85,3,-1
2432.75,1,,56.58,15.96,3,0,,60.15,26.86,3,-1
2432.88,1,,57.06,15.94,3,0,,59.74,26.72,3,-1
2433.03,1,,56.23,16.77,3,0,,60.52,26.5,3,-1
2433.05,1,,56.23,16.77,3,0,,59.75,27.04,3,-1
2433.14,1,,56.23,16.77,3,0,,60.12,27.02,3,-1
2433.38,1,,56.27,16.4,3,0,,59.73,27.4,3,-1
2433.38,1,,56.27,16.4,3,0,,60.95,28.08,3,-1
2433.5,1,,56.1,16.08,3,0,,60.8,27.11,3,-1
2433.57,1,,56.1,16.08,3,0,,61.03,27.16,3,-1
2434.05,1,,56.79,15.97,3,0,,60.34,27.36,3,-1
2434.05,1,,56.79,15.97,3,0,,60.34,27.36,3,-1
2434.05,1,,56.79,15.97,3,0,,61.58,28.16,3,-1
2434.05,1,,56.79,15.97,3,0,,61.58,28.16,3,-1
2434.05,1,,56.79,15.97,3,0,,61.34,27.99,3,-1
2434.14,1,,56.79,15.97,3,0,,60.36,27.76,3,-1
2434.34,1,,56.26,15.46,3,0,,60.65,27.61,3,-1
2434.35,1,,56.26,15.46,3,0,,60.49,28.39,3,-1
2434.43,1,,56.26,15.46,3,0,,61.21,27.94,3,-1
2434.52,1,,56.61,16.07,3,0,,61.04,27.47,3,-1
2434.77,1,,56.9,16.11,3,0,,60.31,27.63,3,-1
2434.77,1,,56.9,16.11,3,0,,60.31,27.63,3,-1
2434.82,1,,56.38,15.56,3,0,,60.95,27.54,3,-1
2434.97,1,,56.58,15.52,3,0,,59.2,27.44,3,-1
2435.03,1,,56.39,16.07,3,0,,60.65,27.72,3,-1
2435.27,1,,56.14,16.06,3,0,,60.59,27.51,3,-1
2435.28,1,,56.14,16.06,3,0,,59.98,27.31,3,-1
2435.34,1,,56.14,16.06,3,0,,61.35,27.91,3,-1
2435.46,1,,56.14,16.06,3,0,,61.82,28.08,3,-1
2435.51,1,,56.01,16.11,3,0,,61.25,28.29,3,-1
2435.78,1,,56.31,15.98,3,0,,60.13,28.23,3,-1
2435.78,1,,56.31,15.98,3,0,,60.13,28.23,3,-1
2435.81,1,,56.31,15.98,3,0,,61.31,27.83,3,-1
2435.9,1,,56.45,15.82,3,0,,61.22,27.72,3,-1
2436.05,1,,56.24,15.67,3,0,,61.45,28.24,3,-1
2436.11,1,,56.19,16.01,3,0,,61.18,27.85,3,-1
2436.23,1,,56.2,16.02,3,0,,61.17,27.78,3,-1
2436.32,1,,56.58,16.03,3,0,,61.21,27.72,3,-1
2436.41,1,,56.58,16.03,3,0,,60.34,27.59,3,-1
2436.5,1,,58.43,15.65,3,0,,60.63,27.47,3,-1
2436.77,1,,55.91,16.1,3,0,,60.53,27.52,3,-1
2436.77,1,,55.91,16.1,3,0,,60.61,27.29,3,-1
2436.84,1,,55.91,16.1,3,0,,61.27,27.54,3,-1
2436.89,1,,56.38,15.91,3,0,,61.08,27,3,-1
2437.01,1,,56.38,15.91,3,0,,60.51,27.66,3,-1
2437.1,1,,56.65,15.31,3,0,,61.07,27.86,3,-1
2437.19,1,,56.3,15.91,3,0,,62.13,27.85,3,-1
2437.35,1,,55.89,15.96,3,0,,61.92,27.79,3,-1
2437.52,1,,56.17,16.03,3,0,,61.23,27.41,3,-1
2437.52,1,,56.17,16.03,3,0,,61.38,27.68,3,-1
2437.61,1,,56.13,15.44,3,0,,60.92,28.12,3,-1
2437.7,1,,56.13,15.44,3,0,,61.36,28.26,3,-1
2437.79,1,,55.24,16.64,3,0,,61.12,28.19,3,-1
2438,1,,56.08,16.27,3,0,,61.61,28.06,3,-1
2438,1,,56.08,16.27,3,0,,61.61,28.06,3,-1
2438.09,1,,56.32,15.84,3,0,,60.81,27.82,3,-1
2438.31,1,,56.99,16.33,3,0,,63.34,27.92,3,-1
2438.31,1,,56.99,16.33,3,0,,60.92,27.81,3,-1
2438.39,1,,56.69,15.85,3,0,,60.58,27.49,3,-1
2438.6,1,,55.77,15.95,3,0,,59.56,27.47,3,-1
2438.6,1,,55.77,15.95,3,0,,63.49,27.76,3,0
2438.69,1,,56.32,15.22,3,0,,58.75,27.07,3,0
2438.78,1,,55.65,16.52,3,0,,60.67,27.38,3,0
2439.05,1,,56.25,16.11,3,0,,60.92,27.07,3,0
2439.05,1,,56.25,16.11,3,0,,59.81,27.14,3,0
2439.08,1,,56.25,16.11,3,0,,61.12,27.21,3,0
2439.18,1,,56.2,15.83,3,0,,61.31,26.85,3,0
2439.38,1,,56.32,16.31,3,0,,60.72,27.47,3,0
2439.38,1,,56.32,16.31,3,0,,61.08,27.55,3,0
2439.59,1,,57.42,16.3,3,0,,60.77,27.36,3,0
2439.59,1,,57.42,16.3,3,0,,58.48,27.45,3,0
2439.68,1,,57.49,16.03,3,0,,60.13,27.02,3,0
2439.78,1,,57.33,15.46,3,0,,61.3,27.68,3,0
2440.08,1,,56.09,16.35,3,0,,60.6,27.85,3,0
2440.08,1,,56.09,16.35,3,0,,60.71,27.36,3,0
2440.08,1,,56.09,16.35,3,0,,60.27,27.58,3,0
2440.19,1,,56.09,16.35,3,0,,59.81,26.66,3,0
2440.28,1,,56.09,16.35,3,0,,61.35,27.27,3,0
2440.38,1,,56.09,16.35,3,0,,60.46,27.31,3,0
2440.58,1,,56.09,16.35,3,0,,60.38,27.25,3,0
2440.58,1,,56.09,16.35,3,0,,60.29,27.71,3,0
2440.71,1,,54.55,15.27,3,0,,59.96,26.76,3,0
2440.79,1,,55.54,15.78,3,0,,59.44,26.9,3,0
2440.88,1,,56.44,15.05,3,0,,60.18,26.96,3,0
2440.98,1,,56.44,15.05,3,0,,60.06,27.37,3,0
2441.06,1,,56.44,15.05,3,0,,60.31,27.21,3,0
2441.28,1,,55.83,16.02,3,0,,59.64,26.5,3,0
2441.29,1,,55.83,16.02,3,0,,60.05,26.76,3,0
2441.36,1,,56.76,15.81,3,0,,60.19,27.14,3,0
2441.45,1,,56.65,15.79,3,0,,60.88,27.46,3,0
2441.64,1,,56.41,16.2,3,0,,60.33,27.49,3,0
2441.67,1,,56.41,16.2,3,0,,61.42,27.34,3,0
2441.75,1,,56.33,16.23,3,0,,61.22,27.1,3,0
2442.02,1,,57.86,15.1,3,0,,61.04,26.94,3,0
2442.03,1,,57.86,15.1,3,0,,60.34,27.32,3,0
2442.05,1,,57.86,15.1,3,0,,60.78,27.45,3,0
2442.2,1,,55.99,15.89,3,0,,60.46,26.5,3,0
2442.27,1,,55.99,15.89,3,0,,59.25,26.97,3,0
2442.35,1,,55.99,15.83,3,0,,59.83,26.84,3,0
2442.44,1,,56.31,15.26,3,0,,59.09,26.71,3,0
2442.56,1,,56.29,15.24,3,0,,60.25,27.2,3,0
2443.38,1,,56.68,16.12,3,0,,60.06,26.81,3,0
2443.38,1,,56.68,16.12,3,0,,60.06,26.81,3,0
2443.4,1,,56.73,16.09,3,0,,59.53,26.46,3,0
2443.44,1,,56.73,16.09,3,0,,60.06,26.45,3,0
2443.44,1,,56.73,16.09,3,0,,59.49,26.95,3,0
2443.44,1,,56.73,16.09,3,0,,60.15,27.07,3,0
2443.44,1,,56.73,16.09,3,0,,60.15,27.07,3,0
2443.44,1,,56.73,16.09,3,0,,60.31,26.74,3,0
2443.44,1,,56.73,16.09,3,0,,60.31,26.74,3,0
2443.61,1,,56.73,16.09,3,0,,59.63,27.71,3,0
2443.64,1,,56.73,15.83,3,0,,60.37,27.39,3,0
2443.85,1,,55.1,15.74,3,0,,59.7,26.85,3,0
2443.86,1,,55.1,15.74,3,0,,57.68,27.48,3,0
2443.94,1,,55.1,15.74,3,0,,59.2,26.86,3,0
2444.03,1,,57.7,15.54,3,0,,59.27,26.73,3,0
2444.28,1,,56.04,15.1,3,0,,59.77,26.65,3,0
2444.3,1,,55.66,15.52,3,0,,59.13,26.78,3,0
2444.33,1,,55.66,15.52,3,0,,58.8,26.67,3,0
2444.42,1,,56.1,15.41,3,0,,59.8,25.68,3,0
2444.64,1,,56.43,15.17,3,0,,60.14,26.64,3,0
2444.64,1,,56.43,15.17,3,0,,60.52,26.89,3,0
2444.78,1,,56.28,15.49,3,0,,59.29,27.12,3,0
2444.84,1,,56.28,15.49,3,0,,58.78,26.96,3,0
2444.93,1,,57.49,15.9,3,0,,59.5,26.8,3,0
2445.02,1,,55.96,15.75,3,0,,58.89,26.49,3,0
2445.26,1,,56.83,15.62,3,0,,60.31,26.56,3,0
2445.26,1,,56.83,15.62,3,0,,59.29,27.04,3,0
2445.32,1,,57.04,15.43,3,0,,60.19,27.15,3,0
2445.44,1,,56.21,15.86,3,0,,59.23,26.53,3,0
2445.53,1,,58.82,15.59,3,0,,59.71,26.61,3,0
2445.66,1,,56.25,16.32,3,0,,59.06,26.93,3,0
2445.77,1,,55.79,14.98,3,0,,59.32,27.2,3,0
2445.83,1,,55.97,15.63,3,0,,60.19,27.78,3,0
2446.02,1,,56.24,15.58,3,0,,58.69,26.74,3,0
2446.02,1,,56.24,15.58,3,0,,60.22,27.04,3,0
2446.28,1,,55.11,15.54,3,0,,59.78,26.54,3,0
2446.28,1,,55.11,15.54,3,0,,58.89,26.54,3,0
2446.31,1,,55.62,15.4,3,0,,59.35,26.86,3,0
2446.43,1,,55.97,15.6,3,0,,58.89,26.5,3,0
2446.52,1,,56.29,15.66,3,0,,59.26,26.78,3,0
2446.64,1,,56.96,15.78,3,0,,58.52,26.15,3,0
2446.7,1,,56.07,15.66,3,0,,59.15,26.14,3,0
2446.82,1,,56.35,15.13,3,0,,59.65,26.61,3,0
2446.91,1,,56.35,15.13,3,0,,59.32,26.86,3,0
2447,1,,56.35,15.13,3,0,,59.91,26.02,3,0
2447.28,1,,56.35,15.13,3,0,,59.24,26.43,3,0
2447.28,1,,56.35,15.13,3,0,,59.24,26.43,3,0
2447.3,1,,56.35,15.13,3,0,,60.1,26.74,3,0
2447.51,1,,56.35,15.13,3,0,,58.86,26.65,3,0
2447.51,1,,56.35,15.13,3,0,,58.86,26.65,3,0
2447.63,1,,55.81,16.04,3,0,,59.47,26.63,3,0
2447.69,1,,56.04,15.87,3,0,,61.15,26.32,3,0
2447.84,1,,55.6,15.73,3,0,,58.68,26.64,3,0
2448.03,1,,55,15.91,3,0,,59.58,26.67,3,0
2448.03,1,,55,15.91,3,0,,59.58,26.67,3,0
2448.14,1,,55,15.91,3,0,,58.99,26.25,3,0
2448.21,1,,55,15.91,3,0,,59.77,26.46,3,0
2448.36,1,,55.25,15.74,3,0,,58.85,26.29,3,0
2448.38,1,,55.25,15.74,3,0,,58.86,26.58,3,0
2448.5,1,,55.72,15.27,3,0,,59.05,26.55,3,0
2448.59,1,,55.48,15.92,3,0,,59.54,26.34,3,0
2448.77,1,,56.92,15.95,3,0,,61.98,26.14,3,0
2448.8,1,,56.92,15.95,3,0,,59.2,26.1,3,0
2448.89,1,,55.13,16.22,3,0,,59.54,26.11,3,0
2449.11,1,,56.22,16.11,3,0,,59.28,26.61,3,0
2449.13,1,,56.22,16.11,3,0,,58.21,27.08,3,0
2449.19,1,,56.66,15.94,3,0,,59.17,26.58,3,0
2449.44,1,,56.21,16.1,3,0,,59.28,26.29,3,0
2449.44,1,,56.21,16.1,3,0,,59.11,26.77,3,0
2449.53,1,,56.21,16.1,3,0,,59.64,26.99,3,0
2449.58,1,,56.38,15.43,3,0,,60,26.9,3,0
2449.68,1,,56.91,15.87,3,0,,58.57,26.29,3,0
2449.88,1,,55.86,15.73,3,0,,59.81,26.83,3,0
2449.88,1,,55.86,15.73,3,0,,59.81,26.83,3,0
2450.09,1,,55.56,14.86,3,0,,58.91,26.31,3,0
2450.09,1,,55.56,14.86,3,0,,59.88,26.74,3,0
2450.18,1,,55.58,15.59,3,0,,59.41,26.17,3,0
2450.27,1,,56.02,15.66,3,0,,59.46,26.17,3,0
2450.54,1,,56.37,15.54,3,0,,58.34,25.93,3,0
2450.54,1,,55.83,15.63,3,0,,58.55,25.89,3,-1
2450.59,1,,55.97,15.25,3,0,,58.64,26.06,3,-1
2450.72,1,,57.14,15.4,3,0,,59.83,26.04,3,-1
2450.78,1,,56.27,15.12,3,0,,59.22,26.19,3,-1
2450.88,1,,56.79,15.58,3,0,,59.29,26.15,3,-1
2450.96,1,,55.86,15.71,3,0,,60.31,26.17,3,-1
2451.08,1,,56.1,15.63,3,0,,59.6,26.56,3,-1
2451.18,1,,55.51,15.24,3,0,,58.92,26.69,3,-1
2451.26,1,,56.11,15.72,3,0,,59.8,26.74,3,-1
2451.5,1,,56.13,15.5,3,0,,60.26,26.7,3,-1
2451.5,1,,56.13,15.5,3,0,,59.53,26.15,3,-1
2451.56,1,,56.12,15.66,3,0,,59.5,26.47,3,-1
2451.65,1,,55.62,14.82,3,0,,61.5,26.4,3,-1
2451.77,1,,58.11,15.11,3,0,,59.76,26.69,3,-1
2451.87,1,,55.62,15.61,3,0,,58.93,26.26,3,-1
2451.95,1,,55.62,15.61,3,0,,59.39,26.94,3,-1
2452.13,1,,55.2,15.48,3,-1,,59.1,26.58,3,-1
2452.16,1,,55.2,15.48,3,-1,,58.82,26.62,3,-1
2452.26,1,,55.2,15.48,3,-1,,59.83,26.36,3,-1
2452.54,1,,55.2,15.48,3,-1,,60.46,26.23,3,-1
2452.54,1,,55.2,15.48,3,-1,,59.05,26.24,3,-1
2452.58,1,,55.2,15.48,3,-1,,58.97,25.92,3,-1
2452.65,1,,55.2,15.48,3,-1,,56.84,25.52,3,-1
2452.76,1,,55.76,14.52,3,-1,,59.06,26.31,3,-1
