Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2090.78,1,,67.03,35.37,1,0,,72.15,38.93,1,0
2090.84,1,,67.6,35.29,1,0,,70.8,38.86,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.81,1,,68.43,35.29,1,0,,70.84,38.57,1,0
2091.81,1,,68.43,35.29,1,0,,69.98,38.44,1,0
2091.81,1,,68.43,35.29,1,0,,69.98,38.44,1,0
2091.81,1,,68.43,35.29,1,0,,71.89,38.68,1,0
2091.81,1,,68.43,35.29,1,0,,71.7,38.78,1,0
2091.83,1,,68.43,35.29,1,0,,71.4,38.74,1,0
2091.92,1,,68.43,35.29,1,0,,70.99,38.68,1,0
2092.14,1,,67.39,35.09,1,0,,71.28,38.65,1,0
2092.14,1,,67.39,35.09,1,0,,71.21,38.71,1,0
2092.22,1,,68.46,35.36,1,0,,70.82,38.81,1,0
2092.37,1,,67.22,35.2,1,0,,72.65,39.28,1,0
2092.56,1,,67.52,35.29,1,0,,71.41,38.93,1,0
2092.56,1,,67.65,35.21,1,0,,71.34,38.8,1,0
2092.64,1,,67.65,35.21,1,0,,71.37,38.8,1,0
2092.73,1,,67.38,35.42,1,0,,72.21,38.58,1,0
2092.82,1,,67.38,35.42,1,0,,71.18,38.81,1,0
2092.94,1,,67.49,35.42,1,0,,71.86,38.85,1,0
2093.03,1,,67.16,35.23,1,0,,72.18,38.82,1,0
2093.16,1,,67.16,35.23,1,0,,71.7,38.8,1,0
2093.22,1,,67.16,35.23,1,0,,71.5,38.68,1,0
2093.34,1,,67.16,35.23,1,0,,70.77,38.62,1,0
2093.43,1,,67.16,35.23,1,0,,71.96,38.76,1,0
2093.67,1,,67.16,35.23,1,0,,71.68,38.78,1,0
2093.67,1,,67.16,35.23,1,0,,70.64,39.08,1,0
2093.72,1,,67.16,35.23,1,0,,71.6,38.82,1,0
2093.94,1,,68.42,35.25,1,0,,71.23,38.8,1,0
2093.94,1,,68.42,35.25,1,0,,71.23,38.8,1,0
2094.14,1,,67.62,35.18,1,0,,71.27,38.76,1,0
2094.14,1,,67.62,35.18,1,0,,71.08,38.55,1,0
2094.21,1,,67.62,35.18,1,0,,71.14,38.27,1,0
2094.41,1,,67.55,34.97,1,0,,71.19,37.85,1,0
2094.41,1,,67.55,34.97,1,0,,71.08,37.53,1,0
2094.62,1,,67.95,35.27,1,0,,70.18,37.59,1,0
2094.62,1,,67.95,35.27,1,0,,70.73,38.12,1,0
2094.71,1,,67.71,35.08,1,0,,70.59,37.65,1,0
2094.81,1,,67.71,35.08,1,0,,70.68,37.51,1,0
2095.04,1,,67.95,35.26,1,0,,70.13,37.5,1,0
2095.05,1,,67.95,35.26,1,0,,71.34,37.16,1,0
2095.1,1,,67.95,35.26,1,0,,70.52,37.27,1,0
2095.2,1,,67.54,35.38,1,0,,70.95,37.07,1,0
2095.31,1,,67.55,35.47,1,0,,70.26,37.36,1,0
2095.4,1,,67.55,35.47,1,0,,70.85,37.49,1,0
2095.64,1,,67.87,35.82,1,0,,70.31,37.18,1,0
2095.65,1,,67.87,35.82,1,0,,69.75,37.5,1,0
2095.7,1,,67.2,36.09,1,0,,70.89,37.63,1,0
2095.79,1,,67.2,36.09,1,0,,70.36,37.6,1,0
2096.03,1,,67.54,35.68,1,0,,72.1,37.96,1,0
2096.06,1,,67.54,35.68,1,0,,70.14,37.59,1,0
2096.09,1,,67.54,35.68,1,0,,70.37,37.57,1,0
2096.21,1,,67.67,35.94,1,0,,69.19,37.76,1,0
2096.33,1,,67.79,35.78,1,0,,70.92,37.73,1,0
2096.39,1,,67.79,35.78,1,0,,70.35,37.79,1,0
2096.54,1,,67.49,35.7,1,0,,70.29,37.35,1,0
2096.6,1,,68.41,35.7,1,0,,70.29,37.85,1,0
2096.7,1,,68.41,35.7,1,0,,70.75,38.23,1,0
2096.91,1,,66.53,36.02,1,0,,70.41,38.01,1,0
2096.91,1,,66.53,36.02,1,0,,70.3,38.03,1,0
2097.12,1,,67.53,36.06,1,0,,70.16,38.2,1,0
2097.12,1,,67.53,36.06,1,0,,70.91,38.16,1,0
2097.29,1,,67.83,36.14,1,0,,71.15,38.13,1,0
2097.29,1,,67.83,36.14,1,0,,71.28,38.26,1,0
2097.38,1,,67.83,36.14,1,0,,70.31,38.37,1,0
2097.59,1,,68.38,36.49,1,0,,71.7,38.12,1,0
2097.59,1,,68.38,36.49,1,0,,71.7,38.12,1,0
2098.19,1,,67.49,36.08,1,0,,73.17,37.34,1,0
2098.19,1,,67.49,36.08,1,0,,72.26,37.26,1,0
2098.19,1,,67.49,36.08,1,0,,72.26,37.26,1,0
2098.23,1,,67.49,36.08,1,0,,71.27,37.98,1,0
2098.23,1,,67.49,36.08,1,0,,71.72,37.9,1,0
2098.23,1,,67.49,36.08,1,0,,71.37,38.21,1,0
2098.28,1,,67.8,35.58,1,0,,70.7,37.69,1,0
2098.37,1,,67.8,35.58,1,0,,71.59,37.86,1,0
2099.1,1,,67.8,35.58,1,0,,70.49,38.2,1,0
2099.1,1,,67.8,35.58,1,0,,70.49,38.2,1,0
2099.12,1,,67.8,35.58,1,0,,71.42,38.39,1,0
2099.15,1,,68.13,36.13,1,0,,71.51,38.25,1,0
2099.16,1,,68.13,36.13,1,0,,71.54,38.54,1,0
2099.16,1,,68.13,36.13,1,0,,71.54,38.54,1,0
2099.16,1,,68.13,36.13,1,0,,71.16,38.84,1,0
2099.18,1,,67.69,36.14,1,0,,71.71,39.11,1,0
2099.43,1,,68.2,36.28,1,0,,71.83,38.87,1,0
2099.43,1,,68.2,36.28,1,0,,71.26,38.69,1,0
2099.48,1,,67.8,36.53,1,0,,71.51,38.7,1,0
2099.56,1,,68.12,36.6,1,0,,71.61,38.86,1,0
2099.73,1,,68.12,36.6,1,0,,71.66,38.77,1,0
2099.77,1,,67.62,36.41,1,0,,71.8,38.76,1,0
2099.87,1,,67.62,36.41,1,0,,72.33,38.73,1,0
2099.96,1,,68.03,36.34,1,0,,71.33,38.75,1,0
2100.06,1,,67.64,36.45,1,0,,72.01,38.82,1,0
2100.29,1,,67.82,36.49,1,0,,72.07,38.89,1,0
2100.29,1,,67.82,36.49,1,0,,72.09,38.97,1,0
2100.35,1,,67.82,36.49,1,0,,71.97,38.93,1,0
2100.53,1,,68.49,36.39,1,0,,72.24,39.06,1,0
2100.56,1,,67.84,36.57,1,0,,72.13,38.9,1,0
2100.68,1,,67.84,36.57,1,0,,72.44,39.12,1,0
2100.94,1,,67.69,36.42,1,0,,71.76,39.14,1,0
2100.94,1,,67.69,36.42,1,0,,71.76,39.14,1,0
2100.95,1,,67.69,36.42,1,0,,71.75,38.98,1,0
2101.05,1,,67.69,36.46,1,0,,72.8,38.68,1,0
2101.28,1,,67.28,36.98,1,0,,71.98,38.81,1,0
2101.29,1,,67.28,36.98,1,0,,72.76,38.89,1,0
2101.34,1,,67.28,36.98,1,0,,72.1,39,1,0
2101.46,1,,67.12,37.26,1,0,,72.51,39.05,1,0
2101.61,1,,67.38,36.62,1,0,,73.29,39.03,1,0
2101.64,1,,67.38,36.62,1,0,,72.68,39.12,1,0
2101.86,1,,67.74,36.66,1,0,,72.68,39.33,1,0
2101.86,1,,67.74,36.66,1,0,,72.68,39.33,1,0
